"state_code","county_code","site_number","local_site_name","address","city_name","latitude","longitude","Site_Established","Pollutants_Measured","Status","Site_Closed"
"28","001","0003",NA,"FIRE STATION #2 JOHN R. JUNKIN DR.","Natchez","31.541029","-91.398181",1973-01-01,"SO2","Closed",1974-10-01
"28","001","0004","Natchez","Natchez Municipal Water Works Brenham St","Natchez","31.560752","-91.390405",1974-10-01,"Ozone, PM2.5, SO2","Closed",2012-01-01
"28","001","0734",NA,"NATCHEZ WATERWORKS BREHAM ST.","Natchez","31.560166","-91.391226",1987-03-01,"Ozone","Closed",1990-11-30
"28","003","0004","TVA PSD SITE AT ROSCOE TURNER AIRPORT, CORINTH, MS","ROSCOE TURNER AIRPORT, CORINTH, MS","Not in a city","34.909167","-88.601667",2001-04-12,"Ozone, SO2, NO2","Closed",2002-04-12
"28","011","0001","Cleveland","213 N. BAYOU AVE.","Cleveland","33.746056","-90.723028",1999-05-18,"Ozone, PM2.5","Closed",2017-10-31
"28","011","0002","Cleveland Delta State","highway 8 west","Cleveland","33.750838","-90.734175",2018-02-16,"Ozone, PM2.5","Active",NA
"28","019","0001","TVA PSD SITE IN ACKERMAN , MS","PERRY DRIVE, ACKERMAN, MS","Not in a city","33.378889","-89.203889",1996-10-01,"Ozone, PM10, SO2, NO2, CO","Closed",1997-12-31
"28","027","0001",NA,"CENTRAL FIRE STATION","Clarksdale","34.202887","-90.568432",1991-01-01,"PM10","Closed",1999-03-31
"28","033","0002","Hernando","5 EAST SOUTH ST. (HERNANDO)","Hernando","34.82056","-89.98778",1973-01-01,"Ozone, PM2.5, SO2, NO2","Active",NA
"28","035","0002",NA,"UNIVERSITY OF SOUTHERN MISS","Hattiesburg","31.32389","-89.2922",1973-01-01,"SO2","Closed",1978-01-01
"28","035","0003",NA,"526 FORREST ST.","Hattiesburg","31.327396","-89.296451",1979-01-01,"SO2","Closed",1980-04-01
"28","035","0004","Hattiesburg","205 Bay Street","Hattiesburg","31.32389","-89.2922",1999-03-07,"PM2.5","Active",NA
"28","037","0001",NA,"HWY 98,BUDE WORK CENTER,HOM NAT FOREST","Not in a city","31.408783","-90.847046",1993-03-01,"Ozone","Closed",1995-11-30
"28","043","0001","Grenada","HWY 332 GRENADA AIRPORT","Grenada","33.834444","-89.792778",2001-12-01,"PM2.5","Closed",2019-01-04
"28","045","0001",NA,"Port Bienville Industrial Park","Not in a city","30.230363","-89.567498",1980-07-01,"Ozone, PM2.5, NO2","Closed",2005-08-31
"28","045","0719",NA,"PORT BIENVILLE INDUSTRIAL PARK","Not in a city","30.231585","-89.563387",1980-07-01,"Ozone","Closed",1990-11-30
"28","045","0002","LOCATED NEXT TO STENNIS AP WATER WELL","Stennis Airport","Not in a City","30.38","-89.448333",2001-05-03,"Ozone, PM2.5","Closed",2005-11-09
"28","045","0003","Waveland","400 Baltic St","Waveland","30.300833","-89.395916",2005-06-01,"Ozone, PM2.5, NO2","Active",NA
"28","045","8201","STENNIS, MS","Bldg 9800, Stennis Space Center","Not in a city","30.393193","-89.580378",2005-09-30,"PM2.5","Closed",2006-06-11
"28","045","8104","HANCOCK ELEMENTARY SCHOOL","Lakeshore Dr and Lower Bay Rd","Bay St. Louis","30.26892","-89.44933",2005-10-29,"PM2.5, PM10","Closed",2006-03-30
"28","045","8105","KILN WATER UTILITIES","16148 Fire Dept Road","Kiln","30.40966","-89.44114",2005-11-01,"PM2.5, PM10","Closed",2006-06-11
"28","045","8108",NA,"CORNER OF CENTRAL AVE. AND COLEMAN AVE.","Waveland","30.286737","-89.3743",2006-04-05,"PM2.5, PM10","Closed",2006-06-11
"28","047","0002",NA,"RAILROAD STREET","Biloxi","30.398008","-88.881995",1973-01-01,"SO2","Closed",1976-07-01
"28","047","1002",NA,"2720 33RD AVENUE - ARMY RESERVE CENTER","Gulfport","30.381864","-89.101149",1973-09-01,"SO2","Closed",1977-07-01
"28","047","0003",NA,"RT 5 BOX 1000 BILOXI, MS  39532","Biloxi","30.43492","-88.9467",1976-01-01,"SO2","Closed",1986-06-30
"28","047","1003",NA,"NR THE INTERSCTN OF EVA & PINE DR","Gulfport","30.449086","-89.022536",1976-07-01,"SO2","Closed",1988-03-31
"28","047","0004",NA,"MILL RD.","Gulfport","30.406619","-89.038388",1977-01-01,"SO2","Closed",1978-07-01
"28","047","0005",NA,"LORRAINE ROAD AT COALVILLE GROCERY","Gulfport","30.466864","-88.998924",1979-01-01,"SO2","Closed",1981-05-31
"28","047","0006",NA,"100LMARKET AND JOHN LEE RD","Gulfport","30.472141","-88.995868",1981-06-01,"SO2","Closed",1982-12-31
"28","047","0007",NA,"11397 HELEN RICHARDS DR","North Gulfport (census name for West Gulfport)","30.447003","-89.029175",1988-04-21,"SO2","Closed",2004-12-31
"28","047","0008","Gulfport Youth Court","47 Maple Street","Gulfport","30.390369","-89.049778",1999-04-01,"Ozone, PM2.5","Active",NA
"28","047","0009","NEXT TO THE LIZANA FIRE STATION #2","20121 W.WORTHAM RD.","Not in a City","30.566944","-89.180556",2001-08-03,"Ozone","Closed",2005-10-31
"28","047","8101","LONG BEACH FIRE STATION NO. 1","645 Klondyke Road","Long Beach","30.373678","-89.15513",2005-10-01,"PM2.5","Closed",2006-06-04
"28","047","8102","UNIFIED COMMAND CENTER; LATIMER ROAD BURN SITE","12451 Dedeaux Road","Gulfport","30.449005","-89.052683",2005-10-01,"PM2.5","Closed",2006-04-03
"28","047","8103","BILOXI FIRE STATION NO. 8","8479 Woolmarket Road","Biloxi","30.470916","-88.9827",2005-10-01,"PM2.5","Closed",2006-06-14
"28","047","8106",NA,"CORNER OF DIVISION AND LEE STREET","Biloxi","30.40288","-88.87987",2006-04-05,"PM2.5, PM10","Closed",2006-05-11
"28","047","8107",NA,"CORNER OF WEST NORTH STREET AND PIRATE COVE","Pass Christian","30.319695","-89.267386",2006-04-05,"PM2.5, PM10","Closed",2006-06-11
"28","049","0003",NA,"505 JOHN HART STREET","Jackson","32.302368","-90.186755",1970-01-01,"Ozone, PM10, SO2, NO2","Closed",1991-12-31
"28","049","0008",NA,"4531 HWY 80 WEST","Jackson","32.307121","-90.262037",1973-01-01,"SO2","Closed",1979-10-01
"28","049","0009",NA,"COR OF BEASLEY RD. & WATKINS DRIVE","Jackson","32.383508","-90.201758",1973-01-01,"SO2","Closed",1975-04-01
"28","049","0007",NA,"2802 KINGSWOOD AVE.","Jackson","32.267925","-90.2112",1973-04-01,"PM10, SO2","Closed",1999-03-31
"28","049","0010","Jackson FS19","5810 Ridgewood Rd","Jackson","32.385731","-90.1412",1975-04-01,"Ozone, PM2.5, SO2, NO2, CO","Closed",2015-03-31
"28","049","0011",NA,"FOREST AVE.","Jackson","32.371564","-90.215091",1978-01-01,"SO2","Closed",1979-01-01
"28","049","0013",NA," INTERSTATE 55 NORTH","Jackson","32.338478","-90.162309",1979-01-01,"CO","Closed",1983-03-31
"28","049","0017",NA,"300 BLOCK N. LAMAR ST.","Jackson","32.30209","-90.186755",1980-09-01,"SO2, CO","Closed",1991-12-31
"28","049","0016",NA,"    SOUTH LAMAR ST","Jackson","32.300146","-90.185921",1983-04-01,"CO","Closed",1991-03-26
"28","049","0018",NA,"Court and Farrish Streets","Jackson","32.296952","-90.188394",1992-02-01,"PM2.5, PM10, SO2, CO","Closed",2006-05-31
"28","049","0019","University Medical Center","University of Mississippi Medical Center Drive","Jackson","32.33037","-90.166201",2009-10-01,"Ozone, PM2.5, PM10, SO2, CO","Closed",2012-07-01
"28","049","0020","Jackson NCORE","232 East Woodrow Wilson Drive","Jackson","32.329111","-90.182722",2013-07-01,"Ozone, PM2.5, PM10, SO2, NO2, CO","Active",NA
"28","049","0021","Hinds CC","3925 Sunset Drive","Jackson","32.346722","-90.225667",2015-04-01,"Ozone, PM2.5","Active",NA
"28","059","0001",NA,"GUL; RES LAB OCEAN SPRINGS,MS","Not in a city","30.391866","-88.811971",1970-01-01,"SO2, NO2","Closed",1977-07-01
"28","059","0002",NA,"ORANGE GROVE BRANCH JACKSON COUNTY HEALT","Not in a City","30.423562","-88.456705",1973-01-01,"SO2","Closed",1977-07-01
"28","059","1001",NA,"FIRE STATION DENNY AVENUE","Moss Point","30.412452","-88.538652",1973-01-01,"Ozone, SO2","Closed",1977-07-01
"28","059","1002",NA,"MARKET STREET FIRE STATION","Pascagoula","30.360787","-88.548374",1973-01-01,"SO2","Closed",1976-12-31
"28","059","1003",NA,"4906 WASHINGTON AVE","Pascagoula","30.346343","-88.512818",1973-01-01,"SO2","Closed",1978-01-01
"28","059","0004",NA,"2503 OLD MOBILE AVE.,PASCAGOULA,MS.","Pascagoula","30.368256","-88.538071",1977-01-01,"SO2","Closed",1977-07-01
"28","059","0005",NA,"JACKSON CO.AIRPORT","Pascagoula","30.381033","-88.493625",1977-01-01,"Ozone, SO2","Closed",1992-05-31
"28","059","0003",NA,"UNITED GAS PIPELINE STATION ON HWY 63","Not in a city","30.555752","-88.560852",1979-01-01,"SO2","Closed",1980-12-31
"28","059","0006","Pascagoula","Hospital Road at Co. Health Dept.","Pascagoula","30.378287","-88.53393",1992-08-14,"Ozone, PM2.5, PM10, SO2, NO2","Active",NA
"28","059","0007","NEXT TO THE JACKSON CO. TECHNOLOGY CENTER","HWY 57 VANCLEAVE","Not in a City","30.522778","-88.708611",2001-05-10,"Ozone","Closed",2005-10-31
"28","067","0002","Laurel","26 Mason St.","Laurel","31.688638","-89.135115",1973-07-01,"PM2.5, PM10, SO2","Closed",2012-12-31
"28","067","0003",NA,"2929 OLD BAY SPRINGS RD","Laurel","31.723772","-89.13839",1976-01-01,"SO2","Closed",1983-12-31
"28","073","0001",NA,"LUMBERTON NAT'L GUARD ARMORY","Lumberton","31.002157","-89.448679",1973-01-01,"SO2","Closed",1977-07-01
"28","073","0002",NA,"HWY 98 & OAK GROVE RD.","Not in a city","31.319341","-89.409509",1980-06-01,"Ozone","Closed",1993-06-21
"28","073","0720",NA,"HWY 98 & OAK GROVE RD.","Not in a city","31.319341","-89.409509",1980-06-01,"Ozone","Closed",1990-11-30
"28","075","0001",NA,"1319 23RD AVE.","Meridian","32.371009","-88.704769",1973-01-01,"SO2","Closed",1977-07-01
"28","075","0002",NA,"1401 25TH AVE","Meridian","32.37181","-88.703378",1974-10-01,"Ozone, SO2","Closed",1996-11-30
"28","075","0733",NA,"1401 25TH AVE.","Meridian","32.37181","-88.706989",1984-03-01,"Ozone","Closed",1990-11-30
"28","075","0003","Meridian","Hwy 19 and 53rd Ave","Meridian","32.364565","-88.731491",1997-04-16,"Ozone, PM2.5","Active",NA
"28","081","0002",NA,"320 N FRONT ST","Tupelo","34.261218","-88.703109",1973-09-01,"SO2","Closed",1977-07-01
"28","081","0003",NA,"WATER TANK NEW HWY 45","Not in a city","34.194275","-88.711441",1989-06-01,"Ozone","Closed",1997-10-31
"28","081","0738",NA,"WATER TANK NEW HWY 45","Not in a city","34.194275","-88.711441",1989-06-01,"Ozone","Closed",1990-11-30
"28","081","0004","TVA PSD SITE IN TUPELO, MS","JACKSON ST.","Tupelo","34.263333","-88.759722",1997-01-01,"Ozone, PM10, SO2, NO2","Closed",1997-12-31
"28","081","0005","TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Tupelo","34.264917","-88.766222",1998-01-01,"Ozone, PM2.5, PM10","Active",NA
"28","087","0722",NA,"SHRINEWOOD & COUNTY RD.","Not in a city","33.582061","-88.406151",1980-10-01,"Ozone","Closed",1988-11-30
"28","087","0001",NA,"John Clayton Fant Mem Lib Msuw","Columbus","33.491121","-88.418567",1999-03-07,"PM2.5","Closed",2009-12-31
"28","089","0001",NA,"WEST HOY RD","Not in a city","32.466253","-90.110642",1978-01-01,"Ozone","Closed",1982-11-30
"28","089","0002",NA,"STATE HWY 22 AT MICROWAVE TOWER","Canton","32.564972","-90.178698",1987-12-07,"Ozone","Closed",2004-10-31
"28","093","0001","TVA PSD SITE","480 MILL POND ROAD NEAR SLAYDEN, MS","Not in a city","34.955","-89.423",2004-03-01,"Ozone, SO2, NO2","Closed",2005-02-28
"28","107","0001","TVA PSD SITE NEAR BATESVILLE, MISSISSIPPI","PANOLA COUNTY AIRPORT, BATESVILLE, MS","Not in a city","34.359944","-89.890889",1998-04-01,"Ozone, PM10, SO2, NO2","Closed",1999-12-31
